"","family","species","network","corolla","nectar","color","colorCode","introduced","speciesOld"
"1213","Acanthaceae","Justicia carnea","64, 67, 68, 69, 72, 73, 91",35.03,21.56,"Pink, Pink, Pink, Pink","2, 2, 2, 2","","Justicia carnea"
"1214","Bromeliaceae","Aechmea pectinata","65, 66, 67, 68, 69, 91",26.18,28.37,"Pink/White, Green/Red, Green/Red, Red, Yellow/Red, Red/White/Green","2, 2, 2, 3, 2, 2","","Aechmea pectinata"
"1215","Marcgraviaceae","Schwartzia brasiliensis","65, 66, 68, 70, 91",22.08,7.87,"Red, Red/Purple, Red/Pink/Purple, Red","3, 2 , 2, 3","","Schwartzia brasiliensis"
"1216","Malvaceae","Eriotheca pentaphylla","65, 66, 69",15.3,9.55,"White, Cream, Yellow","1, 1, 1","","Eriotheca pentaphylla"
"1217","Fabaceae","Inga edulis","65, 68, 70",14.24,16.25,"White, White, White","1, 1, 1","","Inga edulis"
"1218","Malvaceae","Hibiscus tiliaceus","65, 96",43.25,NA,"Yellow, Yellow","1, 1","","Hibiscus tiliaceus"
"1219","Bromeliaceae","Billbergia pyramidalis","66, 65, 64, 20, 91",43.9,27.13,"Red flowers with pink bracts, Red flowers with pink bracts, Red/Violet/Green, Red flowers with bluish tip and pink bracts","2, 2, 2, 2","","Billbergia pyramidalis"
"1220","Bromeliaceae","Aechmea coelestis","66, 68",19.4,25.8,"Blue flowers with pink bracts, Red/Blue","1, 2 ","","Aechmea coelestis"
"1221","Bromeliaceae","Bromelia antiacantha","66, 74",24.9,30.2,"purple flowers with bracts red, Red/Purple","2, 2","","Bromelia antiacantha"
"1222","Gesneriaceae","Nematanthus fissus","66, 91",28.15,28.2,"Red, Red","3, 3","","Nematanthus fissus"
"1223","Bromeliaceae","Vriesea vagans","68, 69, 73",25.8,24.16,"Yellow/Pink, Yellow/Red","1, 2 ","","Vriesea vagans"
"1224","Bromeliaceae","Vriesea philippocoburgii","68, 69, 91",29.25,23.89,"Yellow/Pink, Yellow/Red, Yellow/Red","1, 2, 2","","Vriesea philippocoburgii"
"1225","Bromeliaceae","Quesnelia arvensis","69, 91",23.3,27.75,"Pink/Blue-violet, Blue/Pink","1, 1","","Quesnelia arvensis"
"1226","Bromeliaceae","Quesnelia humilis","69, 91",41,27,"Red/Violet, Red/Blue","2, 2","","Quesnelia humilis"
"1227","Bromeliaceae","Vriesea flammea","69, 91",25,26,"Red/White, Red/Yellow","2, 2","","Vriesea flammea"
"1228","Orobanchaceae","Castilleja tenuiflora","7, 12, 80",16.27,24.98,"Orange-Yellow, Orange","2, 3 ","","Castilleja tenuiflora"
"1229","Plantaginaceae","Penstemon barbatus","7, 4",22.53,19.74,"Red/Yellow","2","","Penstemon barbatus"
"1230","Polemoniaceae","Loeselia mexicana","7, 5, 11",24.96,22.5,"Red","3","","Loeselia mexicana"
"1231","Rubiaceae","Psychotria suterella","70, 73",14.55,NA,"White/Cream","1","","Psychotria suterella"
"1232","Fabaceae","Schizolobium parahyba","70, 87",8.42,NA,"Yellow, Yellow","1, 1","","Schizolobium parahyba"
"1233","Lamiaceae","Aegiphila obducta","71, 72",NA,NA,NA,"","","Aegiphila obducta"
"1234","Bromeliaceae","Vriesea altodaserrae","71, 72",NA,NA,NA,"","","Vriesea altodaserrae"
"1235","Gesneriaceae","Nematanthus australis","71, 72, 73",NA,NA,NA,"","","Nematanthus australis"
"1236","Convolvulaceae","Ipomoea murucoides","79, 80",36.85,NA,"White, White","1, 1","","Ipomoea murucoides"
"1237","Cactaceae","Opuntia tomentosa","79, 80",5,NA,"Orange/Red","3","","Opuntia tomentosa"
"1238","Acanthaceae","Dianthera candicans","8, 79, 80",26.58,26.9,"Red, Red, Red","3, 3, 3","","Justicia candicans"
"1239","Campanulaceae","Burmeistera multiflora","81, 82",NA,NA,"White/Green, White/Green","1, 1","","Burmeistera multiflora"
"1240","Gesneriaceae","Columnea mastersonii","81, 82",35.57,15.34,NA,NA,"","Columnea mastersonii"
"1241","Gesneriaceae","Columnea picta","81, 82",22.55,16.52,"Yellow, Yellow","1, 1","","Columnea picta"
"1242","Gesneriaceae","Drymonia tenuis","81, 82",13.55,18,"Red/Green, Red/Green","2, 2","","Drymonia tenuis"
"1243","Gesneriaceae","Drymonia teuscheri","81, 82",18.22,22.17,"Red/Yellow, Red/Yellow","2, 2","","Drymonia teuscheri"
"1244","Gesneriaceae","Gasteranthus quitensis","81, 82",12.22,22,"Red, Red","3, 3","","Gasteranthus quitensis"
"1245","Bromeliaceae","Guzmania amplectens","81, 82",56,NA,"Red/Yellow, Red/Yellow","2, 2","","Guzmania amplectens"
"1246","Heliconiaceae","Heliconia impudica","81, 82",13.65,20,"Red/Yellow, Red/Yellow","2, 2","","Heliconia impudica"
"1247","Gesneriaceae","Gasteranthus pansamalanus","82, 32",NA,NA,"Orange","3","","Gasteranthus pansamalanus"
"1248","Bromeliaceae","Cipuropsis capituligera","82, 83",25.9,19.6,"Yellow/Red","2","","Mezobromelia capituligera"
"1249","Rubiaceae","Palicourea cuatrecasasii","83, 32",19.56,NA,"Purple, Yellow/Orange","1, 2","","Palicourea cuatrecasasii"
"1250","Melastomataceae","Meriania tomentosa","83, 82",27,NA,"Red, Orange, Red","3, 3, 3","","Meriania tomentosa"
"1251","Rubiaceae","Arachnothryx gonzaleoides","87, 88",NA,NA,"Orange/Red, Orange/Red","3, 3","","Arachnothryx gonzaleoides"
"1252","Fabaceae","Erythrina chiapasana","87, 88",NA,NA,"Orange/Red, Orange/Red","3, 3","","Erythrina chiapasana"
"1253","Convolvulaceae","Ipomoea tricolor","87, 88",NA,NA,"Purple/White/Pink, Purple/White/Pink","1, 1","","Ipomoea tricolor"
"1254","Plantaginaceae","Russelia sarmentosa","87, 88",NA,NA,"Red, Red","3, 3","","Russelia sarmentosa"
"1255","Sapindaceae","Serjania mexicana","87, 88",NA,NA,"White, White","1, 1","","Serjania mexicana"
"1256","Polygonaceae","Triplaris americana","87, 88",NA,NA,"Pink, Pink","2, 2","","Triplaris americana"
"1257","Lamiaceae","Salvia tonalensis","88, 89",NA,13.2,"Deep fuchsia, Pink","2, 2","","Salvia tonalensis"
"1258","Onagraceae","Fuchsia paniculata","88, 89, 90",4.4,NA,"Fuchsia, Fuchsia, Pink","2, 2, 2","","Fuchsia paniculata"
"1259","Boraginaceae","Wigandia urens","89, 87",NA,NA,"Purple, Purple","1, 1","","Wigandia urens"
"1260","Heliconiaceae","Heliconia adflexa","89, 87, 88",NA,NA,"Orange/Red, Orange/Red, Orange/Red","3, 3, 3","","Heliconia adflexa"
"1261","Rubiaceae","Rovaeanthus strigosus","89, 88",NA,NA,"Red, Red","3, 3","","Rovaeanthus strigosus"
"1262","Actinidiaceae","Saurauia scabrida","89, 88",NA,NA,"White, White","1, 1","","Saurauia scabrida"
"1263","Bromeliaceae","Tillandsia guatemalensis","89, 90",8.7,NA,"Orane/Red/Purple, Orane/Red/Purple","2, 2","","Tillandsia guatemalensis"
"1264","Rubiaceae","Palicourea padifolia","9, 10",15.4,16.2,"Yellow/red-orange, Yellow/reddish-purple","2, 2","","Palicourea padifolia"
"1265","Bromeliaceae","Tillandsia deppeana","9, 10",36.48,23.15,"Blue or blue-white  flowers with reddish bracts, Blue or blue-white  flowers with reddish bracts","2, 2","","Tillandsia deppeana"
"1266","Campanulaceae","Lobelia laxiflora","9, 10, 89",42.1,20.65,"Orange/Red, Red-orange flowers that changes to pale pink-yellowish as they age, Red-orange flowers that change in color to pale pink-yellowish","3, 3, 3","","Lobelia laxiflora"
"1267","Gesneriaceae","Moussonia deppeana","9, 10, 89, 88",31.19,17.75,"Orange/Red, Orange/Red, Orange-red flowers, Red","3, 3, 3, 3","","Moussonia deppeana"
"1268","Rubiaceae","Hamelia patens","9, 20, 21, 26, 28, 30, 87",21.64,13.9,"Orange, Red, Red, Bright reddish-orange flowers are tubular and last one day, Orange, Orange, Orange/Red","3, 3, 3, 3, 3, 3, 3","","Hamelia patens"
"1269","Rubiaceae","Ernodea littoralis","93, 94",8.03,18.92,"Cream white, with weak green-ish colour on the outside, Cream white, with weak green-ish colour on the outside","1, 1","","Ernodea littoralis"
"1270","Rubiaceae","Notopleura parasitica","96, 100",7.39,NA,"White/Red, White/Red","2, 2","","Notopleura guadalupensis"
"1271","Acanthaceae","Ruellia simplex","96, 102",31.06,NA,"Purple, Purple","1, 1","","Ruellia simplex"
"1272","Gesneriaceae","Crantzia cristata","96, 99",31.27,NA,"Yellow/Red, Yellow/Red","2, 2","","Crantzia cristata"
"1273","Heliconiaceae","Heliconia caribaea","96, 98, 102, 104",32.49,21.15,"Yellow/Red 2 morphs, Yellow/Red 2 morphs, Yellow/Red 2 morphs","3, 3, 3","","Heliconia caribaea"
"1274","Gesneriaceae","Besleria lutea","98, 99",11.56,NA,"Yellow, Yellow","1, 1","","Besleria lutea"
