"","species","genus","family","species.relative","genus.relative","status"
"88","Prunella_vulgaris","Prunella","Lamiaceae","","","prune"
"89","Salvia_mocinoi","Salvia","Lamiaceae","","","prune"
"90","Aechmea_paniculigera","Aechmea","Bromeliaceae","","","bind"
"91","Dendropanax_arboreus","Dendropanax","Araliaceae","","","prune"
"92","Cestrum_macrophyllum","Cestrum","Solanaceae","","","prune"
"93","Guzmania_berteroniana","Guzmania","Bromeliaceae","","","bind"
"94","Miconia_sintenisii","Miconia","Melastomataceae","","","bind"
"95","Palicourea_berteroana","Palicourea","Rubiaceae","","","bind"
"96","Renealmia_alpinia","Renealmia","Zingiberaceae","","","prune"
"97","Rhodopis_volubilis","Rhodopis","Fabaceae","","","bind"
"98","Schlegelia_brachyantha","Schlegelia","Schlegeliaceae","","","bind"
"99","Urena_lobata","Urena","Malvaceae","","","prune"
"100","Consolea_rubescens","Consolea","Cactaceae","","","prune"
"101","Besleria_petiolaris","Besleria","Gesneriaceae","","","bind"
"102","Clusia_mangle","Clusia","Clusiaceae","","","bind"
"103","Lobelia_stricta","Lobelia","Campanulaceae","","","bind"
"104","Manettia_dominicensis","Manettia","Rubiaceae","","","bind"
"105","Citharexylum_spinosum","Citharexylum","Verbenaceae","","","prune"
"106","Erithalis_fruticosa","Erithalis","Rubiaceae","","","prune"
"107","Lonchocarpus_benthamianus","Lonchocarpus","Fabaceae","","","prune"
"108","Palicourea_violacea","Palicourea","Rubiaceae","","","bind"
"109","Aechmea_aquilega","Aechmea","Bromeliaceae","","","prune"
"110","Aechmea_dichlamydea","Aechmea","Bromeliaceae","","","bind"
"111","Aegiphila_perplexa","Aegiphila","Lamiaceae","","","bind"
"112","Calliandra_guildingii","Calliandra","Fabaceae","","","bind"
"113","Clathrotropis_brachypetala","Clathrotropis","Fabaceae","","","bind"
"114","Cordia_bicolor","Cordia","Boraginaceae","","","prune"
"115","Cuspidaria_inaequalis","Cuspidaria","Bignoniaceae","","","bind"
"116","Dolichandra_unguis-cati","Dolichandra","Bignoniaceae","","","prune"
"117","Helia_alata","Helia","Gentianaceae","","","bind"
"118","Ischnosiphon_arouma","Ischnosiphon","Marantaceae","","","bind"
"119","Isertia_parviflora","Isertia","Rubiaceae","","","prune"
"120","Norantea_guianensis","Norantea","Marcgraviaceae","","","prune"
"121","Palicourea_muscosa","Palicourea","Rubiaceae","","","bind"
"122","Psychotria_pedunculosa","Psychotria","Rubiaceae","","","bind"
"123","Ryania_speciosa","Ryania","Salicaceae","","","prune"
"124","Tabebuia_stenocalyx","Tabebuia","Bignoniaceae","","","bind"
"125","Tabernaemontana_cymosa","Tabernaemontana","Apocynaceae","","","prune"
"126","Tillandsia_fasciculata","Tillandsia","Bromeliaceae","","","prune"
"127","Varronia_curassavica","Varronia","Boraginaceae","","","bind"
"128","Vitex_divaricata","Vitex","Lamiaceae","","","bind"
"129","Aechmea_mariae-reginae","Aechmea","Bromeliaceae","","","prune"
"130","Aphelandra_storkii","Aphelandra","Acanthaceae","","","bind"
"131","Besleria_columneoides","Besleria","Gesneriaceae","","","bind"
"132","Goeppertia_gymnocarpa","Goeppertia","Marantaceae","","","bind"
"133","Goeppertia_inocephala","Goeppertia","Marantaceae","","","bind"
"134","Heliconia_imbricata","Heliconia","Heliconiaceae","","","prune"
"135","Heliconia_mariae","Heliconia","Heliconiaceae","","","bind"
"136","Heliconia_mathiasiae","Heliconia","Heliconiaceae","","","bind"
"137","Heliconia_pogonantha","Heliconia","Heliconiaceae","","","prune"
"138","Heliconia_wagneriana","Heliconia","Heliconiaceae","","","bind"
"139","Pentagonia_donnell-smithii","Pentagonia","Rubiaceae","","","bind"
"140","Schlegelia_fastigiata","Schlegelia","Schlegeliaceae","","","bind"
"141","Besleria_notabilis","Besleria","Gesneriaceae","","","prune"
"142","Calathea_lasiostachya","Calathea","Marantaceae","","","prune"
"143","Cavendishia_callista","Cavendishia","Ericaceae","","","bind"
"144","Cavendishia_complectens","Cavendishia","Ericaceae","","","prune"
